routeId,capacity,deliveriesNumber,routeCreationTimestamp
r-shiinc-240086,3,7,"2020-05-04 13:57:28"
r-shiinc-240087,3,5,"2020-05-04 13:58:32"
r-shiinc-240097,3,12,"2020-05-04 14:01:57"
r-shiinc-240099,3,5,"2020-05-04 14:09:09"
r-shiinc-240100,3,3,"2020-05-04 14:10:28"
r-shiinc-240117,3,14,"2020-05-04 14:20:18"
r-shiinc-240118,3,15,"2020-05-04 14:20:18"
r-shiinc-240119,3,11,"2020-05-04 14:20:18"
r-shiinc-240120,3,19,"2020-05-04 14:20:19"
r-shiinc-240122,3,17,"2020-05-04 14:22:37"
r-shiinc-240123,4,22,"2020-05-04 14:22:37"
r-shiinc-240131,3,16,"2020-05-04 14:28:26"
r-shiinc-240134,3,6,"2020-05-04 14:29:49"
r-shiinc-240140,3,8,"2020-05-04 14:34:11"
r-shiinc-240143,5,17,"2020-05-04 14:35:52"
r-shiinc-240144,3,24,"2020-05-04 14:36:47"
r-shiinc-240147,3,13,"2020-05-04 14:38:05"
r-shiinc-240148,3,9,"2020-05-04 14:43:07"
r-shiinc-240149,3,6,"2020-05-04 14:43:26"
r-shiinc-240150,4,19,"2020-05-04 14:43:54"
r-shiinc-240151,3,10,"2020-05-04 14:43:58"
r-shiinc-240152,3,18,"2020-05-04 14:44:47"
r-shiinc-240156,3,24,"2020-05-04 14:47:26"
r-shiinc-240166,3,7,"2020-05-04 15:02:56"
r-shiinc-240172,3,22,"2020-05-04 15:05:28"
r-shiinc-240173,3,8,"2020-05-04 15:07:41"
r-shiinc-240179,4,48,"2020-05-04 15:18:17"
r-shiinc-240191,5,11,"2020-05-04 15:23:17"
r-shiinc-240192,4,10,"2020-05-04 15:23:17"
r-shiinc-240262,3,21,"2020-05-04 15:47:53"
r-shiinc-240263,3,21,"2020-05-04 15:47:54"
r-shiinc-240264,3,22,"2020-05-04 15:47:56"
r-shiinc-240265,3,20,"2020-05-04 15:47:56"
r-shiinc-240266,3,21,"2020-05-04 15:47:59"
r-shiinc-240267,3,19,"2020-05-04 15:47:59"
r-shiinc-240268,3,19,"2020-05-04 15:47:59"
r-shiinc-240269,3,21,"2020-05-04 15:47:59"
r-shiinc-240270,3,22,"2020-05-04 15:48:00"
r-shiinc-240293,3,13,"2020-05-04 16:00:26"
r-shiinc-240318,3,11,"2020-05-04 16:16:35"
r-shiinc-240326,3,7,"2020-05-04 16:19:43"
r-shiinc-240340,3,12,"2020-05-04 16:22:32"
r-shiinc-240352,3,6,"2020-05-04 16:24:23"
r-shiinc-240356,3,6,"2020-05-04 16:27:31"
r-shiinc-240358,3,6,"2020-05-04 16:29:28"
r-shiinc-240361,3,8,"2020-05-04 16:30:46"
r-shiinc-240364,3,8,"2020-05-04 16:32:41"
r-shiinc-240367,3,7,"2020-05-04 16:34:28"
r-shiinc-240368,3,9,"2020-05-04 16:35:36"
r-shiinc-240370,3,10,"2020-05-04 16:36:18"
r-shiinc-240371,3,4,"2020-05-04 16:36:47"
r-shiinc-240373,3,14,"2020-05-04 16:38:01"
r-shiinc-240375,3,19,"2020-05-04 16:40:45"
r-shiinc-240376,3,20,"2020-05-04 16:40:45"
r-shiinc-240377,3,20,"2020-05-04 16:40:48"
r-shiinc-240378,3,20,"2020-05-04 16:40:48"
r-shiinc-240379,3,21,"2020-05-04 16:40:48"
r-shiinc-240380,3,20,"2020-05-04 16:40:48"
r-shiinc-240381,3,20,"2020-05-04 16:40:48"
r-shiinc-240384,3,10,"2020-05-04 16:46:26"
r-shiinc-240390,3,13,"2020-05-04 16:52:58"
r-shiinc-240397,3,10,"2020-05-04 17:02:43"
r-shiinc-240398,3,2,"2020-05-04 17:05:40"
r-shiinc-240402,4,18,"2020-05-04 17:13:43"
r-shiinc-240403,4,17,"2020-05-04 17:13:45"
r-shiinc-240404,5,21,"2020-05-04 17:13:46"
r-shiinc-240405,4,18,"2020-05-04 17:13:47"
r-shiinc-240406,5,22,"2020-05-04 17:13:47"
r-shiinc-240407,4,21,"2020-05-04 17:13:49"
r-shiinc-240408,3,16,"2020-05-04 17:13:49"
r-shiinc-240409,4,23,"2020-05-04 17:13:50"
r-shiinc-240414,3,20,"2020-05-04 17:24:57"
r-shiinc-240415,3,19,"2020-05-04 17:24:59"
r-shiinc-240416,3,19,"2020-05-04 17:24:59"
r-shiinc-240417,3,19,"2020-05-04 17:24:59"
r-shiinc-240418,3,19,"2020-05-04 17:25:00"
r-shiinc-240419,3,19,"2020-05-04 17:25:00"
r-shiinc-240442,3,10,"2020-05-04 17:56:04"
r-shiinc-240446,3,2,"2020-05-04 18:07:59"
r-shiinc-240447,3,18,"2020-05-04 18:07:59"
r-shiinc-240461,5,21,"2020-05-04 18:28:01"
r-shiinc-240462,3,18,"2020-05-04 18:28:01"
r-shiinc-240463,4,19,"2020-05-04 18:28:01"
r-shiinc-240464,5,19,"2020-05-04 18:28:03"
r-shiinc-240465,4,25,"2020-05-04 18:28:03"
r-shiinc-240473,3,4,"2020-05-04 18:46:10"
